analysis_id,region,jurisdiction,age_group,sex,included,exclusion_reason,data_start,data_end,n_observations,missing_or_suppressed
us__us-non-sex__california__40-59__total,us_non_sex,California,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__california__60-79__total,us_non_sex,California,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__california__ge80__total,us_non_sex,California,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__colorado__20-39__total,us_non_sex,Colorado,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__colorado__40-59__total,us_non_sex,Colorado,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__colorado__60-79__total,us_non_sex,Colorado,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__colorado__ge80__total,us_non_sex,Colorado,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__connecticut__20-39__total,us_non_sex,Connecticut,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__connecticut__40-59__total,us_non_sex,Connecticut,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__connecticut__60-79__total,us_non_sex,Connecticut,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__connecticut__ge80__total,us_non_sex,Connecticut,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__delaware__20-39__total,us_non_sex,Delaware,20-39,total,TRUE,,1999-01-31,2023-08-31,176,120
us__us-non-sex__delaware__40-59__total,us_non_sex,Delaware,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__delaware__60-79__total,us_non_sex,Delaware,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__delaware__ge80__total,us_non_sex,Delaware,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__district-of-columbia__20-39__total,us_non_sex,District of Columbia,20-39,total,TRUE,,1999-01-31,2023-08-31,151,145
us__us-non-sex__district-of-columbia__40-59__total,us_non_sex,District of Columbia,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__district-of-columbia__60-79__total,us_non_sex,District of Columbia,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__district-of-columbia__ge80__total,us_non_sex,District of Columbia,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__florida__20-39__total,us_non_sex,Florida,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__florida__40-59__total,us_non_sex,Florida,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__florida__60-79__total,us_non_sex,Florida,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__florida__ge80__total,us_non_sex,Florida,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
