"Notes"	"State"	"State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"< 1 year"	"1"	"2007"	"2007"	"Jan., 2007"	"2007/01"	51	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2007"	"2007"	"Feb., 2007"	"2007/02"	49	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2007"	"2007"	"Mar., 2007"	"2007/03"	52	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2007"	"2007"	"Apr., 2007"	"2007/04"	56	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2007"	"2007"	"May, 2007"	"2007/05"	46	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2007"	"2007"	"Jun., 2007"	"2007/06"	51	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2007"	"2007"	"Jul., 2007"	"2007/07"	55	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2007"	"2007"	"Aug., 2007"	"2007/08"	66	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2007"	"2007"	"Sep., 2007"	"2007/09"	44	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2007"	"2007"	"Oct., 2007"	"2007/10"	56	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2007"	"2007"	"Nov., 2007"	"2007/11"	51	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2007"	"2007"	"Dec., 2007"	"2007/12"	64	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2008"	"2008"	"Jan., 2008"	"2008/01"	63	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2008"	"2008"	"Feb., 2008"	"2008/02"	44	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2008"	"2008"	"Mar., 2008"	"2008/03"	45	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2008"	"2008"	"Apr., 2008"	"2008/04"	52	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2008"	"2008"	"May, 2008"	"2008/05"	54	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2008"	"2008"	"Jun., 2008"	"2008/06"	53	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2008"	"2008"	"Jul., 2008"	"2008/07"	56	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2008"	"2008"	"Aug., 2008"	"2008/08"	68	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2008"	"2008"	"Sep., 2008"	"2008/09"	39	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2008"	"2008"	"Oct., 2008"	"2008/10"	45	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2008"	"2008"	"Nov., 2008"	"2008/11"	44	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2008"	"2008"	"Dec., 2008"	"2008/12"	49	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2009"	"2009"	"Jan., 2009"	"2009/01"	59	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2009"	"2009"	"Feb., 2009"	"2009/02"	50	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2009"	"2009"	"Mar., 2009"	"2009/03"	42	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2009"	"2009"	"Apr., 2009"	"2009/04"	41	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2009"	"2009"	"May, 2009"	"2009/05"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2009"	"2009"	"Jun., 2009"	"2009/06"	36	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2009"	"2009"	"Jul., 2009"	"2009/07"	47	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2009"	"2009"	"Aug., 2009"	"2009/08"	47	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2009"	"2009"	"Sep., 2009"	"2009/09"	32	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2009"	"2009"	"Oct., 2009"	"2009/10"	47	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2009"	"2009"	"Nov., 2009"	"2009/11"	40	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2009"	"2009"	"Dec., 2009"	"2009/12"	47	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2010"	"2010"	"Jan., 2010"	"2010/01"	42	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2010"	"2010"	"Feb., 2010"	"2010/02"	45	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2010"	"2010"	"Mar., 2010"	"2010/03"	31	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2010"	"2010"	"Apr., 2010"	"2010/04"	39	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2010"	"2010"	"May, 2010"	"2010/05"	52	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2010"	"2010"	"Jun., 2010"	"2010/06"	43	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2010"	"2010"	"Jul., 2010"	"2010/07"	39	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2010"	"2010"	"Aug., 2010"	"2010/08"	47	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2010"	"2010"	"Sep., 2010"	"2010/09"	44	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2010"	"2010"	"Oct., 2010"	"2010/10"	55	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2010"	"2010"	"Nov., 2010"	"2010/11"	43	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2010"	"2010"	"Dec., 2010"	"2010/12"	43	Not Applicable	Not Applicable
	"Alabama"	"01"	"1-4 years"	"1-4"	"2007"	"2007"	"Feb., 2007"	"2007/02"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"1-4 years"	"1-4"	"2008"	"2008"	"Jan., 2008"	"2008/01"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"1-4 years"	"1-4"	"2008"	"2008"	"Apr., 2008"	"2008/04"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"1-4 years"	"1-4"	"2008"	"2008"	"Jul., 2008"	"2008/07"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"1-4 years"	"1-4"	"2008"	"2008"	"Nov., 2008"	"2008/11"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"1-4 years"	"1-4"	"2009"	"2009"	"Mar., 2009"	"2009/03"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"1-4 years"	"1-4"	"2009"	"2009"	"Apr., 2009"	"2009/04"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"1-4 years"	"1-4"	"2009"	"2009"	"Jun., 2009"	"2009/06"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"1-4 years"	"1-4"	"2009"	"2009"	"Aug., 2009"	"2009/08"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"1-4 years"	"1-4"	"2009"	"2009"	"Sep., 2009"	"2009/09"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"1-4 years"	"1-4"	"2010"	"2010"	"Feb., 2010"	"2010/02"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"1-4 years"	"1-4"	"2010"	"2010"	"Apr., 2010"	"2010/04"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"1-4 years"	"1-4"	"2010"	"2010"	"Jul., 2010"	"2010/07"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"5-9 years"	"5-9"	"2007"	"2007"	"Feb., 2007"	"2007/02"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"10-14 years"	"10-14"	"2009"	"2009"	"Oct., 2009"	"2009/10"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"10-14 years"	"10-14"	"2010"	"2010"	"Oct., 2010"	"2010/10"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"10-14 years"	"10-14"	"2010"	"2010"	"Dec., 2010"	"2010/12"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2007"	"2007"	"Jan., 2007"	"2007/01"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2007"	"2007"	"Feb., 2007"	"2007/02"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2007"	"2007"	"Mar., 2007"	"2007/03"	34	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2007"	"2007"	"Apr., 2007"	"2007/04"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2007"	"2007"	"May, 2007"	"2007/05"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2007"	"2007"	"Jun., 2007"	"2007/06"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2007"	"2007"	"Jul., 2007"	"2007/07"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2007"	"2007"	"Aug., 2007"	"2007/08"	22	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2007"	"2007"	"Sep., 2007"	"2007/09"	27	Not Applicable	Not Applicable
