"figure","region","geography","age_group","status","reason","geography_label"
"figure_04","us","Delaware","20-39","available",,"Delaware"
"figure_04","us","District of Columbia","20-39","available",,"District of Columbia"
"figure_04","us","Florida","20-39","available",,"Florida"
"figure_04","us","Georgia","20-39","available",,"Georgia"
"figure_04","us","Hawaii","20-39","available",,"Hawaii"
"figure_04","us","Idaho","20-39","available",,"Idaho"
"figure_04","us","Illinois","20-39","available",,"Illinois"
"figure_04","us","Indiana","20-39","available",,"Indiana"
"figure_04","us","Iowa","20-39","available",,"Iowa"
"figure_04","us","Kansas","20-39","available",,"Kansas"
"figure_04","us","Kentucky","20-39","available",,"Kentucky"
"figure_04","us","Louisiana","20-39","available",,"Louisiana"
"figure_04","us","Maine","20-39","available",,"Maine"
"figure_04","us","Maryland","20-39","available",,"Maryland"
