"figure","region","geography","geography_label","age_group","frequency","coverage_start","usable_observations","expected_observations","missing_observations","coverage_fraction","default_eligible"
"figure_04","europe","SK","Slovakia","40-59","weekly",2020-01-01,225,227,2,0.991189427312775,TRUE
"figure_04","europe","SI","Slovenia","40-59","weekly",2020-01-01,224,227,3,0.986784140969163,TRUE
"figure_04","europe","ES","Spain","40-59","weekly",2020-01-01,224,227,3,0.986784140969163,TRUE
"figure_04","europe","SE","Sweden","40-59","weekly",2020-01-01,224,227,3,0.986784140969163,TRUE
"figure_04","europe","CH","Switzerland","40-59","weekly",2020-01-01,222,227,5,0.977973568281938,TRUE
"figure_04","europe","AM","Armenia","60-79","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","AT","Austria","60-79","weekly",2020-01-01,222,227,5,0.977973568281938,TRUE
"figure_04","europe","BE","Belgium","60-79","weekly",2020-01-01,223,227,4,0.982378854625551,TRUE
"figure_04","europe","BG","Bulgaria","60-79","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","HR","Croatia","60-79","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","CY","Cyprus","60-79","weekly",2020-01-01,222,227,5,0.977973568281938,TRUE
"figure_04","europe","CZ","Czechia","60-79","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","DK","Denmark","60-79","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","EE","Estonia","60-79","weekly",2020-01-01,227,227,0,1,TRUE
"figure_04","europe","FI","Finland","60-79","weekly",2020-01-01,223,227,4,0.982378854625551,TRUE
"figure_04","europe","FR","France","60-79","weekly",2020-01-01,222,227,5,0.977973568281938,TRUE
"figure_04","europe","DE","Germany","60-79","weekly",2020-01-01,225,227,2,0.991189427312775,TRUE
"figure_04","europe","EL","Greece","60-79","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","HU","Hungary","60-79","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
"figure_04","europe","IS","Iceland","60-79","weekly",2020-01-01,220,227,7,0.969162995594714,TRUE
"figure_04","europe","IT","Italy","60-79","weekly",2020-01-01,221,227,6,0.973568281938326,TRUE
