"Notes"	"Residence State"	"Residence State Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"< 1 year"	"1"	35	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"1-4 years"	"1-4"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"15-19 years"	"15-19"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"20-24 years"	"20-24"	30	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"25-29 years"	"25-29"	67	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"30-34 years"	"30-34"	70	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"35-39 years"	"35-39"	79	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"40-44 years"	"40-44"	99	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"45-49 years"	"45-49"	142	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"50-54 years"	"50-54"	221	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"55-59 years"	"55-59"	332	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"60-64 years "	"60-64"	463	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"65-69 years"	"65-69"	547	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"70-74 years"	"70-74"	617	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"75-79 years"	"75-79"	662	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"80-84 years"	"80-84"	690	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"85-89 years"	"85-89"	540	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"90-94 years"	"90-94"	375	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"95-99 years"	"95-99"	171	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"100+ years"	"100+"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Apr., 2021"	"2021/04"	"< 1 year"	"1"	36	Not Applicable	Not Applicable
