"Notes"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Jan., 2003"	"2003/01"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Feb., 2003"	"2003/02"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Mar., 2003"	"2003/03"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Apr., 2003"	"2003/04"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"May, 2003"	"2003/05"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Jun., 2003"	"2003/06"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Jul., 2003"	"2003/07"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Aug., 2003"	"2003/08"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Sep., 2003"	"2003/09"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Oct., 2003"	"2003/10"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Nov., 2003"	"2003/11"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Dec., 2003"	"2003/12"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Jan., 2004"	"2004/01"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Feb., 2004"	"2004/02"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Mar., 2004"	"2004/03"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Apr., 2004"	"2004/04"	14	Not Applicable	Not Applicable
