"analysis_id","analysis_family","geography","geography_label","map_id","age_group","sex","frequency","wave","start","end_exclusive","observed_periods","observed_deaths","expected_lower","expected_median","expected_upper","delta_lower","delta_median","delta_upper","p_lower","p_median","p_upper","posterior_draws","status"
"europe__europe__dk__40-59__female","europe","DK","Denmark","DK","40-59","female","weekly","initial",2020-03-01,2020-11-01,35,980,908,981,1057,-77,-1,72,-0.0728476821192053,-0.00101936799184506,0.079295154185022,3000,"success"
"europe__europe__dk__40-59__female","europe","DK","Denmark","DK","40-59","female","weekly","alpha",2020-11-01,2021-07-01,35,988,915,994,1075,-87,-6,73,-0.0809302325581395,-0.00603621730382294,0.0797814207650273,3000,"success"
"europe__europe__dk__40-59__female","europe","DK","Denmark","DK","40-59","female","weekly","delta",2021-07-01,2022-01-01,26,802,642.975,708,776,26,94,159.025,0.0335051546391753,0.132768361581921,0.247326952612123,3000,"success"
"europe__europe__dk__40-59__female","europe","DK","Denmark","DK","40-59","female","weekly","omicron",2022-01-01,2024-04-01,117,3221,2842.95,3089,3336,-115,132,378.05,-0.0344724220623501,0.0427322758174166,0.132978082232146,3000,"success"
"europe__europe__dk__40-59__male","europe","DK","Denmark","DK","40-59","male","weekly","initial",2020-03-01,2020-11-01,35,1581,1510,1611,1709,-128,-30,71,-0.07489760093622,-0.0186219739292365,0.0470198675496689,3000,"success"
"europe__europe__dk__40-59__male","europe","DK","Denmark","DK","40-59","male","weekly","alpha",2020-11-01,2021-07-01,35,1630,1534,1633,1743,-113,-3,96,-0.0648307515777395,-0.00183710961420698,0.0625814863102999,3000,"success"
"europe__europe__dk__40-59__male","europe","DK","Denmark","DK","40-59","male","weekly","delta",2021-07-01,2022-01-01,26,1179,1052,1137,1231.025,-52.025,42,127,-0.0422615146328083,0.0369393139841689,0.120722433460076,3000,"success"
"europe__europe__dk__40-59__male","europe","DK","Denmark","DK","40-59","male","weekly","omicron",2022-01-01,2024-04-01,117,5324,4747.975,5059,5433.05,-109.05,265,576.025,-0.0200715955900693,0.0523818936548725,0.121320142957313,3000,"success"
"europe__europe__dk__40-59__total","europe","DK","Denmark","DK","40-59","total","weekly","initial",2020-03-01,2020-11-01,35,2561,2466.975,2592,2731,-170,-31,94.0250000000001,-0.0622482607103625,-0.0119598765432099,0.0381134832177279,3000,"success"
"europe__europe__dk__40-59__total","europe","DK","Denmark","DK","40-59","total","weekly","alpha",2020-11-01,2021-07-01,35,2618,2487.975,2627,2774,-156,-9,130.025,-0.0562364816149964,-0.00342596117244005,0.0522613813696172,3000,"success"
"europe__europe__dk__40-59__total","europe","DK","Denmark","DK","40-59","total","weekly","delta",2021-07-01,2022-01-01,26,1981,1729,1846,1969.025,11.975,135,252,0.00608169649877673,0.0731310942578548,0.145748987854251,3000,"success"
"europe__europe__dk__40-59__total","europe","DK","Denmark","DK","40-59","total","weekly","omicron",2022-01-01,2024-04-01,117,8545,7625.85,8154,8677,-132,391,919.15,-0.015212631093696,0.0479519254353691,0.12053084299258,3000,"success"
"europe__europe__dk__60-79__female","europe","DK","Denmark","DK","60-79","female","weekly","initial",2020-03-01,2020-11-01,35,5910,5600,5864,6128.025,-218.025,46,310,-0.0355783463945537,0.00784447476125512,0.0553571428571429,3000,"success"
"europe__europe__dk__60-79__female","europe","DK","Denmark","DK","60-79","female","weekly","alpha",2020-11-01,2021-07-01,35,6214,5858,6213,6568.025,-354.025,1,356,-0.0539012863820377,0.00016095284081764,0.0607715944008194,3000,"success"
"europe__europe__dk__60-79__female","europe","DK","Denmark","DK","60-79","female","weekly","delta",2021-07-01,2022-01-01,26,4701,4051.925,4352,4644.05,56.95,349,649.075,0.0122630077719602,0.0801930147058824,0.160189308256679,3000,"success"
"europe__europe__dk__60-79__female","europe","DK","Denmark","DK","60-79","female","weekly","omicron",2022-01-01,2024-04-01,117,21385,18614.95,20647.5,22657.125,-1272.125,737.5,2770.05,-0.0561467959690342,0.0357186106085717,0.14880781339825,3000,"success"
"europe__europe__dk__60-79__male","europe","DK","Denmark","DK","60-79","male","weekly","initial",2020-03-01,2020-11-01,35,8238,8101.975,8403,8723.05,-485.05,-165,136.025,-0.0556055496009463,-0.0196358443413067,0.0167891166116157,3000,"success"
"europe__europe__dk__60-79__male","europe","DK","Denmark","DK","60-79","male","weekly","alpha",2020-11-01,2021-07-01,35,8725,8544,8919,9335.025,-610.025,-194,181,-0.0653479768463123,-0.021751317412266,0.021184456928839,3000,"success"
"europe__europe__dk__60-79__male","europe","DK","Denmark","DK","60-79","male","weekly","delta",2021-07-01,2022-01-01,26,6745,6050.975,6375,6746.05,-1.04999999999998,370,694.025,-0.000155644496174244,0.0580392156862745,0.11469639264598,3000,"success"
"europe__europe__dk__60-79__male","europe","DK","Denmark","DK","60-79","male","weekly","omicron",2022-01-01,2024-04-01,117,29929,28098.875,30339,32906.4,-2977.4,-410,1830.125,-0.0904808738606667,-0.0135139589307492,0.0651316119632268,3000,"success"
"europe__europe__dk__60-79__total","europe","DK","Denmark","DK","60-79","total","weekly","initial",2020-03-01,2020-11-01,35,14148,13763.975,14255,14779.025,-631.025,-107,384.025,-0.042697336151825,-0.00750613819712382,0.0279007337502766,3000,"success"
"europe__europe__dk__60-79__total","europe","DK","Denmark","DK","60-79","total","weekly","alpha",2020-11-01,2021-07-01,35,14939,14411.975,15113,15800.025,-861.025,-174,527.025,-0.0544951668457132,-0.0115132667240124,0.036568548152024,3000,"success"
"europe__europe__dk__60-79__total","europe","DK","Denmark","DK","60-79","total","weekly","delta",2021-07-01,2022-01-01,26,11446,10144,10750.5,11382.05,63.95,695.5,1302,0.00561849654612398,0.064694667667475,0.128351735015773,3000,"success"
"europe__europe__dk__60-79__total","europe","DK","Denmark","DK","60-79","total","weekly","omicron",2022-01-01,2024-04-01,117,51314,46737.9,50982.5,55333.3,-4019.3,331.5,4576.1,-0.0726379945021541,0.00650223202902471,0.0979098335432732,3000,"success"
"europe__europe__dk__ge80__female","europe","DK","Denmark","DK","GE80","female","weekly","initial",2020-03-01,2020-11-01,35,10218,9693,10358,11096.05,-878.05,-140,525,-0.0791317623757822,-0.01351612280363,0.0541627978953884,3000,"success"
"europe__europe__dk__ge80__female","europe","DK","Denmark","DK","GE80","female","weekly","alpha",2020-11-01,2021-07-01,35,11132,10295,11128,12087,-955,4,837,-0.0790105071564491,0.000359453630481668,0.0813016027197669,3000,"success"
"europe__europe__dk__ge80__female","europe","DK","Denmark","DK","GE80","female","weekly","delta",2021-07-01,2022-01-01,26,8687,6988,7762,8658.05,28.95,925,1699,0.00334371033851404,0.119170316928627,0.243131081854608,3000,"success"
"europe__europe__dk__ge80__female","europe","DK","Denmark","DK","GE80","female","weekly","omicron",2022-01-01,2024-04-01,117,38969,33289.975,36932.5,40911.275,-1942.275,2036.5,5679.025,-0.0474752970018201,0.05514113759646,0.170592648413137,3000,"success"
"europe__europe__dk__ge80__male","europe","DK","Denmark","DK","GE80","male","weekly","initial",2020-03-01,2020-11-01,35,8007,7350,7833,8342.05,-335.05,174,657,-0.0401639871235736,0.0222137112217541,0.0893877551020408,3000,"success"
"europe__europe__dk__ge80__male","europe","DK","Denmark","DK","GE80","male","weekly","alpha",2020-11-01,2021-07-01,35,8692,7821,8507,9213.05,-521.05,185,871,-0.0565556455264828,0.021746796755613,0.11136683288582,3000,"success"
"europe__europe__dk__ge80__male","europe","DK","Denmark","DK","GE80","male","weekly","delta",2021-07-01,2022-01-01,26,6699,5417,6025.5,6687.05,11.95,673.5,1282,0.00178703832068359,0.1117749640906,0.236662359239431,3000,"success"
"europe__europe__dk__ge80__male","europe","DK","Denmark","DK","GE80","male","weekly","omicron",2022-01-01,2024-04-01,117,31126,25126.85,29157,32509,-1383,1969,5999.15,-0.0425420652742318,0.0675309531158898,0.238754561087864,3000,"success"
"europe__europe__dk__ge80__total","europe","DK","Denmark","DK","GE80","total","weekly","initial",2020-03-01,2020-11-01,35,18225,17004.85,18206.5,19462,-1237,18.5,1220.15,-0.0635597574761073,0.00101612137123074,0.0717530619396312,3000,"success"
"europe__europe__dk__ge80__total","europe","DK","Denmark","DK","GE80","total","weekly","alpha",2020-11-01,2021-07-01,35,19824,17945.95,19611,21366.15,-1542.15,213,1878.05,-0.0721772505530861,0.0108612513385345,0.10465035319959,3000,"success"
"europe__europe__dk__ge80__total","europe","DK","Denmark","DK","GE80","total","weekly","delta",2021-07-01,2022-01-01,26,15386,12259.925,13841,15644,-258,1545,3126.075,-0.0164919457939146,0.111624888397797,0.254983209315022,3000,"success"
"europe__europe__dk__ge80__total","europe","DK","Denmark","DK","GE80","total","weekly","omicron",2022-01-01,2024-04-01,117,70095,58834.75,66140,73046.025,-2951.025,3955,11260.25,-0.0403995289227551,0.0597974004247685,0.191387743627137,3000,"success"
"europe__europe__ee__20-39__female","europe","EE","Estonia","EE","20-39","female","weekly","initial",2020-03-01,2020-11-01,35,46,39,54,71,-25,-8,7,-0.352112676056338,-0.148148148148148,0.17948717948718,3000,"success"
"europe__europe__ee__20-39__female","europe","EE","Estonia","EE","20-39","female","weekly","alpha",2020-11-01,2021-07-01,35,52,36.975,51,68,-16,1,15.0250000000001,-0.235294117647059,0.0196078431372549,0.406381381381385,3000,"success"
"europe__europe__ee__20-39__female","europe","EE","Estonia","EE","20-39","female","weekly","delta",2021-07-01,2022-01-01,26,42,28,40,55,-13,2,14,-0.236363636363636,0.05,0.5,3000,"success"
"europe__europe__ee__20-39__female","europe","EE","Estonia","EE","20-39","female","weekly","omicron",2022-01-01,2024-04-01,117,216,130,164,204,12,52,86,0.0588235294117647,0.317073170731707,0.661538461538462,3000,"success"
"europe__europe__ee__20-39__male","europe","EE","Estonia","EE","20-39","male","weekly","initial",2020-03-01,2020-11-01,35,160,104,134,165,-5,26,56,-0.0303030303030303,0.194029850746269,0.538461538461538,3000,"success"
"europe__europe__ee__20-39__male","europe","EE","Estonia","EE","20-39","male","weekly","alpha",2020-11-01,2021-07-01,35,155,94,123,155,0,32,61,0,0.260162601626016,0.648936170212766,3000,"success"
"europe__europe__ee__20-39__male","europe","EE","Estonia","EE","20-39","male","weekly","delta",2021-07-01,2022-01-01,26,117,62,86,112,5,31,55,0.0446428571428571,0.36046511627907,0.887096774193548,3000,"success"
"europe__europe__ee__20-39__male","europe","EE","Estonia","EE","20-39","male","weekly","omicron",2022-01-01,2024-04-01,117,561,248,339,432,129,222,313,0.298611111111111,0.654867256637168,1.26209677419355,3000,"success"
"europe__europe__ee__20-39__total","europe","EE","Estonia","EE","20-39","total","weekly","initial",2020-03-01,2020-11-01,35,206,153,188,225,-19,18,53,-0.0844444444444444,0.0957446808510638,0.34640522875817,3000,"success"
"europe__europe__ee__20-39__total","europe","EE","Estonia","EE","20-39","total","weekly","alpha",2020-11-01,2021-07-01,35,207,138,174,212,-5,33,69,-0.0235849056603774,0.189655172413793,0.5,3000,"success"
"europe__europe__ee__20-39__total","europe","EE","Estonia","EE","20-39","total","weekly","delta",2021-07-01,2022-01-01,26,159,96,126,157,2,33,63,0.0127388535031847,0.261904761904762,0.65625,3000,"success"
"europe__europe__ee__20-39__total","europe","EE","Estonia","EE","20-39","total","weekly","omicron",2022-01-01,2024-04-01,117,777,384,498,608.025,168.975,279,393,0.277908064882033,0.560240963855422,1.0234375,3000,"success"
"europe__europe__ee__40-59__female","europe","EE","Estonia","EE","40-59","female","weekly","initial",2020-03-01,2020-11-01,35,319,224,264,307.025,11.975,55,95,0.0390036063285249,0.208333333333333,0.424107142857143,3000,"success"
"europe__europe__ee__40-59__female","europe","EE","Estonia","EE","40-59","female","weekly","alpha",2020-11-01,2021-07-01,35,322,224,267,316,6,55,98,0.0189873417721519,0.205992509363296,0.4375,3000,"success"
"europe__europe__ee__40-59__female","europe","EE","Estonia","EE","40-59","female","weekly","delta",2021-07-01,2022-01-01,26,228,157,192,234,-6,36,71,-0.0256410256410256,0.1875,0.452229299363057,3000,"success"
"europe__europe__ee__40-59__female","europe","EE","Estonia","EE","40-59","female","weekly","omicron",2022-01-01,2024-04-01,117,976,687,825,1025,-49,151,289,-0.0478048780487805,0.183030303030303,0.420669577874818,3000,"success"
"europe__europe__ee__40-59__male","europe","EE","Estonia","EE","40-59","male","weekly","initial",2020-03-01,2020-11-01,35,791,666,743,830,-39,48,125,-0.0469879518072289,0.0646029609690444,0.187687687687688,3000,"success"
"europe__europe__ee__40-59__male","europe","EE","Estonia","EE","40-59","male","weekly","alpha",2020-11-01,2021-07-01,35,822,647.975,746,857.025,-35.025,76,174.025,-0.0408680875717048,0.101876675603217,0.268567533917225,3000,"success"
"europe__europe__ee__40-59__male","europe","EE","Estonia","EE","40-59","male","weekly","delta",2021-07-01,2022-01-01,26,627,463,550,652.025,-25.025,77,164,-0.0383803751444489,0.14,0.354211663066955,3000,"success"
"europe__europe__ee__40-59__male","europe","EE","Estonia","EE","40-59","male","weekly","omicron",2022-01-01,2024-04-01,117,2728,1874.925,2390.5,3074,-346,337.5,853.075,-0.112556929082629,0.141183902675479,0.454991623931624,3000,"success"
"europe__europe__ee__40-59__total","europe","EE","Estonia","EE","40-59","total","weekly","initial",2020-03-01,2020-11-01,35,1110,921,1021,1126,-16,89,189,-0.0142095914742451,0.0871694417238002,0.205211726384365,3000,"success"
"europe__europe__ee__40-59__total","europe","EE","Estonia","EE","40-59","total","weekly","alpha",2020-11-01,2021-07-01,35,1144,897.975,1022,1162.025,-18.025,122,246.025,-0.0155116967069852,0.119373776908023,0.273977599173687,3000,"success"
"europe__europe__ee__40-59__total","europe","EE","Estonia","EE","40-59","total","weekly","delta",2021-07-01,2022-01-01,26,855,639.975,752,886,-31,103,215.025,-0.0349887133182844,0.136968085106383,0.335989766725352,3000,"success"
"europe__europe__ee__40-59__total","europe","EE","Estonia","EE","40-59","total","weekly","omicron",2022-01-01,2024-04-01,117,3704,2586.925,3286,4212.025,-508.025,418,1117.075,-0.120613005599951,0.127206329884358,0.431815812810181,3000,"success"
"europe__europe__ee__60-79__female","europe","EE","Estonia","EE","60-79","female","weekly","initial",2020-03-01,2020-11-01,35,1528,1402,1509,1619,-91,19,126,-0.0562075355157505,0.0125911199469848,0.0898716119828816,3000,"success"
"europe__europe__ee__60-79__female","europe","EE","Estonia","EE","60-79","female","weekly","alpha",2020-11-01,2021-07-01,35,1833,1440.975,1565,1692,141,268,392.025,0.0833333333333333,0.171246006389776,0.272055394112885,3000,"success"
"europe__europe__ee__60-79__female","europe","EE","Estonia","EE","60-79","female","weekly","delta",2021-07-01,2022-01-01,26,1305,997,1097,1207,98,208,308,0.0811930405965203,0.189608021877849,0.308926780341023,3000,"success"
"europe__europe__ee__60-79__female","europe","EE","Estonia","EE","60-79","female","weekly","omicron",2022-01-01,2024-04-01,117,5254,4460.925,4994.5,5587.1,-333.1,259.5,793.075,-0.0596194688483502,0.0519571634109079,0.177782647759572,3000,"success"
"europe__europe__ee__60-79__male","europe","EE","Estonia","EE","60-79","male","weekly","initial",2020-03-01,2020-11-01,35,2303,2146,2296,2457.025,-154.025,7,157,-0.0626875960582226,0.00304878048780488,0.0731593662628145,3000,"success"
"europe__europe__ee__60-79__male","europe","EE","Estonia","EE","60-79","male","weekly","alpha",2020-11-01,2021-07-01,35,2929,2207,2410,2611,318,519,722,0.121792416698583,0.215352697095436,0.327140915269597,3000,"success"
"europe__europe__ee__60-79__male","europe","EE","Estonia","EE","60-79","male","weekly","delta",2021-07-01,2022-01-01,26,1972,1501,1679,1856.025,115.975,293,471,0.0624856960150781,0.174508636092912,0.313790806129247,3000,"success"
"europe__europe__ee__60-79__male","europe","EE","Estonia","EE","60-79","male","weekly","omicron",2022-01-01,2024-04-01,117,8487,6679,7798,9031.175,-544.175,689,1808,-0.0602551579179864,0.0883559887150551,0.270699206468034,3000,"success"
"europe__europe__ee__60-79__total","europe","EE","Estonia","EE","60-79","total","weekly","initial",2020-03-01,2020-11-01,35,3831,3577,3796,4024,-193,35,254,-0.047962226640159,0.00922023182297155,0.0710092256080514,3000,"success"
"europe__europe__ee__60-79__total","europe","EE","Estonia","EE","60-79","total","weekly","alpha",2020-11-01,2021-07-01,35,4762,3656,3944,4233.025,528.975,818,1106,0.124963827635419,0.207403651115619,0.302516411378556,3000,"success"
"europe__europe__ee__60-79__total","europe","EE","Estonia","EE","60-79","total","weekly","delta",2021-07-01,2022-01-01,26,3277,2477.975,2745,3004.025,272.975,532,799.025,0.0908697526980111,0.193806921675774,0.322450796724539,3000,"success"
"europe__europe__ee__60-79__total","europe","EE","Estonia","EE","60-79","total","weekly","omicron",2022-01-01,2024-04-01,117,13741,10847.875,12641,14374.025,-633.025,1100,2893.125,-0.0440395086539101,0.0870184320860691,0.2666997058122,3000,"success"
"europe__europe__ee__ge80__female","europe","EE","Estonia","EE","GE80","female","weekly","initial",2020-03-01,2020-11-01,35,3570,3314,3537,3761.025,-191.025,33,256,-0.0507906737790307,0.00932994062765055,0.0772480386240193,3000,"success"
"europe__europe__ee__ge80__female","europe","EE","Estonia","EE","GE80","female","weekly","alpha",2020-11-01,2021-07-01,35,4269,3552.975,3828,4116.025,152.975,441,716.025,0.0371657135563202,0.115203761755486,0.20152829902975,3000,"success"
"europe__europe__ee__ge80__female","europe","EE","Estonia","EE","GE80","female","weekly","delta",2021-07-01,2022-01-01,26,3161,2440,2681,2952.025,208.975,480,721,0.0707903926419047,0.179037672510257,0.295491803278689,3000,"success"
"europe__europe__ee__ge80__female","europe","EE","Estonia","EE","GE80","female","weekly","omicron",2022-01-01,2024-04-01,117,13269,12134.925,13162,14179.075,-910.075,107,1134.075,-0.0641843692571067,0.0081294636073545,0.093455461799073,3000,"success"
"europe__europe__ee__ge80__male","europe","EE","Estonia","EE","GE80","male","weekly","initial",2020-03-01,2020-11-01,35,1538,1423,1525,1630.025,-92.025,13,115,-0.0564561806712732,0.00852459016393443,0.0808151791988756,3000,"success"
"europe__europe__ee__ge80__male","europe","EE","Estonia","EE","GE80","male","weekly","alpha",2020-11-01,2021-07-01,35,2026,1624.95,1738,1857,169,288,401.05,0.091007000538503,0.165707710011507,0.24680764017252,3000,"success"
"europe__europe__ee__ge80__male","europe","EE","Estonia","EE","GE80","male","weekly","delta",2021-07-01,2022-01-01,26,1453,1094,1188,1285,168,265,359,0.130739299610895,0.223063973063973,0.328153564899452,3000,"success"
"europe__europe__ee__ge80__male","europe","EE","Estonia","EE","GE80","male","weekly","omicron",2022-01-01,2024-04-01,117,6139,5547,5961,6325.05,-186.05,178,592,-0.0294147848701624,0.0298607616171783,0.106724355507482,3000,"success"
"europe__europe__ee__ge80__total","europe","EE","Estonia","EE","GE80","total","weekly","initial",2020-03-01,2020-11-01,35,5108,4735.975,5032.5,5348,-240,75.5,372.025,-0.0448765893792072,0.0150024938742929,0.0785529918448015,3000,"success"
"europe__europe__ee__ge80__total","europe","EE","Estonia","EE","GE80","total","weekly","alpha",2020-11-01,2021-07-01,35,6295,5173,5555,5981.05,313.95,740,1122,0.0524907862585524,0.133213321332133,0.216895418519234,3000,"success"
"europe__europe__ee__ge80__total","europe","EE","Estonia","EE","GE80","total","weekly","delta",2021-07-01,2022-01-01,26,4614,3494,3862,4248,366,752,1120,0.0861581920903955,0.194717762817193,0.320549513451631,3000,"success"
"europe__europe__ee__ge80__total","europe","EE","Estonia","EE","GE80","total","weekly","omicron",2022-01-01,2024-04-01,117,19408,17777.95,19019,20309.125,-901.125,389,1630.05,-0.044370447832344,0.0204532309795468,0.0916894245955139,3000,"success"
"europe__europe__el__20-39__female","europe","EL","Greece","EL","20-39","female","weekly","initial",2020-03-01,2020-11-01,35,235,183,219,261,-26,16,52,-0.0996168582375479,0.0730593607305936,0.284153005464481,3000,"success"
"europe__europe__el__20-39__female","europe","EL","Greece","EL","20-39","female","weekly","alpha",2020-11-01,2021-07-01,35,229,176,215,259,-30,14,53,-0.115830115830116,0.0651162790697674,0.301136363636364,3000,"success"
"europe__europe__el__20-39__female","europe","EL","Greece","EL","20-39","female","weekly","delta",2021-07-01,2022-01-01,26,189,119,152,188,1,37,70,0.00531914893617021,0.243421052631579,0.588235294117647,3000,"success"
"europe__europe__el__20-39__female","europe","EL","Greece","EL","20-39","female","weekly","omicron",2022-01-01,2024-04-01,117,778,522,648,790,-12,130,256,-0.0151898734177215,0.200617283950617,0.490421455938697,3000,"success"
"europe__europe__el__20-39__male","europe","EL","Greece","EL","20-39","male","weekly","initial",2020-03-01,2020-11-01,35,602,586,653,725,-123,-51,16,-0.169655172413793,-0.0781010719754977,0.0273037542662116,3000,"success"
"europe__europe__el__20-39__male","europe","EL","Greece","EL","20-39","male","weekly","alpha",2020-11-01,2021-07-01,35,688,547.975,617,694,-6,71,140.025,-0.00864553314121038,0.115072933549433,0.255531832557147,3000,"success"
"europe__europe__el__20-39__male","europe","EL","Greece","EL","20-39","male","weekly","delta",2021-07-01,2022-01-01,26,570,400,461,526,44,109,170,0.0836501901140684,0.23644251626898,0.425,3000,"success"
"europe__europe__el__20-39__male","europe","EL","Greece","EL","20-39","male","weekly","omicron",2022-01-01,2024-04-01,117,2064,1732.975,1980,2258.025,-194.025,84,331.025,-0.0859268564948943,0.0424242424242424,0.191015459981423,3000,"success"
"europe__europe__el__20-39__total","europe","EL","Greece","EL","20-39","total","weekly","initial",2020-03-01,2020-11-01,35,837,795,873,962,-125,-36,42,-0.12993762993763,-0.0412371134020619,0.0528301886792453,3000,"success"
"europe__europe__el__20-39__total","europe","EL","Greece","EL","20-39","total","weekly","alpha",2020-11-01,2021-07-01,35,917,747,830,922,-5,87,170,-0.00542299349240781,0.104819277108434,0.227576974564926,3000,"success"
"europe__europe__el__20-39__total","europe","EL","Greece","EL","20-39","total","weekly","delta",2021-07-01,2022-01-01,26,759,542,613,695,64,146,217,0.0920863309352518,0.238172920065253,0.400369003690037,3000,"success"
"europe__europe__el__20-39__total","europe","EL","Greece","EL","20-39","total","weekly","omicron",2022-01-01,2024-04-01,117,2842,2325.975,2621,2977,-135,221,516.025,-0.0453476654350017,0.0843189622281572,0.221853206852874,3000,"success"
"europe__europe__el__40-59__female","europe","EL","Greece","EL","40-59","female","weekly","initial",2020-03-01,2020-11-01,35,1908,1744,1868,1997,-89,40,164,-0.0445668502754131,0.0214132762312634,0.0940366972477064,3000,"success"
"europe__europe__el__40-59__female","europe","EL","Greece","EL","40-59","female","weekly","alpha",2020-11-01,2021-07-01,35,2219,1771.975,1917,2072,147,302,447.025,0.0709459459459459,0.15753781950965,0.252275013606474,3000,"success"
"europe__europe__el__40-59__female","europe","EL","Greece","EL","40-59","female","weekly","delta",2021-07-01,2022-01-01,26,1777,1298,1415,1552,225,362,479,0.144974226804124,0.25583038869258,0.369029275808937,3000,"success"
"europe__europe__el__40-59__female","europe","EL","Greece","EL","40-59","female","weekly","omicron",2022-01-01,2024-04-01,117,6500,5787.9,6334,6973.075,-473.075,166,712.1,-0.0678430922779476,0.0262077676034102,0.123032546471404,3000,"success"
"europe__europe__el__40-59__male","europe","EL","Greece","EL","40-59","male","weekly","initial",2020-03-01,2020-11-01,35,3730,3661,3838,4025,-295,-108,69,-0.0732919254658385,-0.0281396560708702,0.0188473094782846,3000,"success"
"europe__europe__el__40-59__male","europe","EL","Greece","EL","40-59","male","weekly","alpha",2020-11-01,2021-07-01,35,4605,3729,3935.5,4169.025,435.975,669.5,876,0.104574812205884,0.170118174140763,0.234915526950925,3000,"success"
"europe__europe__el__40-59__male","europe","EL","Greece","EL","40-59","male","weekly","delta",2021-07-01,2022-01-01,26,3601,2641,2831,3027.025,573.975,770,960,0.189616871210624,0.271988696573649,0.363498674744415,3000,"success"
"europe__europe__el__40-59__male","europe","EL","Greece","EL","40-59","male","weekly","omicron",2022-01-01,2024-04-01,117,13402,11946.925,12864,13904.075,-502.075,538,1455.075,-0.03610991632274,0.0418221393034826,0.121794940589636,3000,"success"
"europe__europe__el__40-59__total","europe","EL","Greece","EL","40-59","total","weekly","initial",2020-03-01,2020-11-01,35,5638,5473,5713,5989,-351,-75,165,-0.0586074469861413,-0.0131279537896027,0.0301479992691394,3000,"success"
"europe__europe__el__40-59__total","europe","EL","Greece","EL","40-59","total","weekly","alpha",2020-11-01,2021-07-01,35,6824,5581.975,5860,6165.05,658.95,964,1242.025,0.106884780739806,0.164505119453925,0.222506371909453,3000,"success"
"europe__europe__el__40-59__total","europe","EL","Greece","EL","40-59","total","weekly","delta",2021-07-01,2022-01-01,26,5378,4004.975,4257,4534.025,843.975,1121,1373.025,0.186142556861814,0.263330984261217,0.342829857408509,3000,"success"
"europe__europe__el__40-59__total","europe","EL","Greece","EL","40-59","total","weekly","omicron",2022-01-01,2024-04-01,117,19902,18093.9,19220,20648.2,-746.2,682,1808.1,-0.0361387398032635,0.0354838709677419,0.0999287065648142,3000,"success"
"europe__europe__el__60-79__female","europe","EL","Greece","EL","60-79","female","weekly","initial",2020-03-01,2020-11-01,35,8901,8117.975,8458,8841,60,443,783.025,0.00678656260604004,0.0523764483329392,0.0964557051841868,3000,"success"
"europe__europe__el__60-79__female","europe","EL","Greece","EL","60-79","female","weekly","alpha",2020-11-01,2021-07-01,35,10956,8489.975,8933,9407.05,1548.95,2023,2466.025,0.164658422360755,0.226463674017687,0.290463164344462,3000,"success"
"europe__europe__el__60-79__female","europe","EL","Greece","EL","60-79","female","weekly","delta",2021-07-01,2022-01-01,26,8624,5937,6303,6689,1935,2321,2687,0.289280908955001,0.368237347294939,0.452585480882601,3000,"success"
"europe__europe__el__60-79__female","europe","EL","Greece","EL","60-79","female","weekly","omicron",2022-01-01,2024-04-01,117,34041,26890.8,28735.5,30904.05,3136.95,5305.5,7150.2,0.101506113388859,0.184632249667009,0.265897633148085,3000,"success"
"europe__europe__el__60-79__male","europe","EL","Greece","EL","60-79","male","weekly","initial",2020-03-01,2020-11-01,35,14804,13835.975,14400,15041,-237,404,968.025,-0.015756931055116,0.0280555555555556,0.0699643503175669,3000,"success"
"europe__europe__el__60-79__male","europe","EL","Greece","EL","60-79","male","weekly","alpha",2020-11-01,2021-07-01,35,18374,14412,15110,15954.05,2419.95,3264,3962,0.15168248858675,0.216015883520847,0.274909797391063,3000,"success"
"europe__europe__el__60-79__male","europe","EL","Greece","EL","60-79","male","weekly","delta",2021-07-01,2022-01-01,26,13602,10041.925,10698,11447.1,2154.9,2904,3560.075,0.188248555570399,0.271452607964105,0.354521172942354,3000,"success"
"europe__europe__el__60-79__male","europe","EL","Greece","EL","60-79","male","weekly","omicron",2022-01-01,2024-04-01,117,55478,46150.975,49033,52931.425,2546.575,6445,9327.025,0.0481108366050075,0.131442090021006,0.202098113867257,3000,"success"
"europe__europe__el__60-79__total","europe","EL","Greece","EL","60-79","total","weekly","initial",2020-03-01,2020-11-01,35,23705,21966.875,22897,23925.375,-220.375,808,1738.125,-0.00921092242099501,0.0352884657378696,0.0791248199819992,3000,"success"
"europe__europe__el__60-79__total","europe","EL","Greece","EL","60-79","total","weekly","alpha",2020-11-01,2021-07-01,35,29330,22896.975,24085,25364.1,3965.9,5245,6433.025,0.156358791274975,0.217770396512352,0.2809552354127,3000,"success"
"europe__europe__el__60-79__total","europe","EL","Greece","EL","60-79","total","weekly","delta",2021-07-01,2022-01-01,26,22226,15890.975,16988,18129.25,4096.75,5238,6335.025,0.225974608146915,0.308335295502708,0.398655526306316,3000,"success"
"europe__europe__el__60-79__total","europe","EL","Greece","EL","60-79","total","weekly","omicron",2022-01-01,2024-04-01,117,89519,73454.8,77938,83699.2,5819.8,11581,16064.2,0.0695323255172369,0.148592470938438,0.218695034577519,3000,"success"
"europe__europe__el__ge80__female","europe","EL","Greece","EL","GE80","female","weekly","initial",2020-03-01,2020-11-01,35,29334,27028,29272,31674.3,-2340.3,62,2306,-0.0738863967762281,0.00211806504509429,0.0853189285185733,3000,"success"
