"analysis_id","analysis_family","geography","geography_label","map_id","age_group","sex","frequency","wave","start","end_exclusive","observed_periods","observed_deaths","expected_lower","expected_median","expected_upper","delta_lower","delta_median","delta_upper","p_lower","p_median","p_upper","posterior_draws","status"
"canada__canada-sex__ab__45-64__female","canada_sex","AB","AB","AB","45-64","female","weekly","omicron",2022-01-01,2024-04-01,84,3320,2587,2955,3306.05,13.95,365,733,0.00421954586252982,0.123519458544839,0.283339775802087,3000,"success"
"canada__canada-sex__ab__45-64__male","canada_sex","AB","AB","AB","45-64","male","weekly","initial",2020-03-01,2020-11-01,35,2100,1821.975,1956,2081.05,18.95,144,278.025,0.00910600285185467,0.0736196319018405,0.152595406318889,3000,"success"
"canada__canada-sex__ab__45-64__male","canada_sex","AB","AB","AB","45-64","male","weekly","alpha",2020-11-01,2021-07-01,34,2295,1839.975,1991,2130,165,304,455.025,0.0774647887323944,0.152687091913611,0.247299564685439,3000,"success"
"canada__canada-sex__ab__45-64__male","canada_sex","AB","AB","AB","45-64","male","weekly","delta",2021-07-01,2022-01-01,26,1930,1352,1494,1616.025,313.975,436,578,0.19428846583638,0.291834002677376,0.427514792899408,3000,"success"
"canada__canada-sex__ab__45-64__male","canada_sex","AB","AB","AB","45-64","male","weekly","omicron",2022-01-01,2024-04-01,84,5520,4440.95,4979,5330.025,189.975,541,1079.05,0.0356424228282801,0.108656356698132,0.242977297042514,3000,"success"
"canada__canada-sex__ab__65-84__female","canada_sex","AB","AB","AB","65-84","female","weekly","initial",2020-03-01,2020-11-01,35,3270,2928,3081,3267,3,189,342,0.000918273645546373,0.0613437195715677,0.116803278688525,3000,"success"
"canada__canada-sex__ab__65-84__female","canada_sex","AB","AB","AB","65-84","female","weekly","alpha",2020-11-01,2021-07-01,34,3415,3051,3220,3453,-38,195,364,-0.0110049232551405,0.0605590062111801,0.119305145853818,3000,"success"
"canada__canada-sex__ab__65-84__female","canada_sex","AB","AB","AB","65-84","female","weekly","delta",2021-07-01,2022-01-01,26,2795,2217,2356,2552,243,439,578,0.0952194357366771,0.186332767402377,0.260712674785747,3000,"success"
"canada__canada-sex__ab__65-84__female","canada_sex","AB","AB","AB","65-84","female","weekly","omicron",2022-01-01,2024-04-01,84,9300,7640.975,8057,8892.1,407.9,1243,1659.025,0.0458721838318819,0.15427578503165,0.217122160965472,3000,"success"
"canada__canada-sex__ab__65-84__male","canada_sex","AB","AB","AB","65-84","male","weekly","initial",2020-03-01,2020-11-01,35,4320,3884,4047,4221,99,273,436,0.023454157782516,0.0674573758339511,0.112255406797116,3000,"success"
"canada__canada-sex__ab__65-84__male","canada_sex","AB","AB","AB","65-84","male","weekly","alpha",2020-11-01,2021-07-01,34,4830,4015.975,4205,4400,430,625,814.025,0.0977272727272727,0.148632580261593,0.202696731752938,3000,"success"
"canada__canada-sex__ab__65-84__male","canada_sex","AB","AB","AB","65-84","male","weekly","delta",2021-07-01,2022-01-01,26,3785,2992,3151,3333.05,451.95,634,793,0.135596535665561,0.201205966359886,0.265040106951872,3000,"success"
"canada__canada-sex__ab__65-84__male","canada_sex","AB","AB","AB","65-84","male","weekly","omicron",2022-01-01,2024-04-01,84,12475,10061.975,10590,11184.125,1290.875,1885,2413.025,0.115420299822174,0.177998111425873,0.239816239158189,3000,"success"
"canada__canada-sex__ab__85plus__female","canada_sex","AB","AB","AB","85+","female","weekly","initial",2020-03-01,2020-11-01,35,3440,3269,3430,3588.025,-148.025,10,171,-0.0412552848680146,0.00291545189504373,0.0523095747935148,3000,"success"
