"STATISTIC Label","Quarter","Age Group","ICD 10 Diagnostic Group","UNIT","VALUE"
"Deaths Registered","2016Q3","65 - 74 years","Total deaths (A00-Y89)","Number","1348"
"Deaths Registered","2016Q3","75 - 84 years","Total deaths (A00-Y89)","Number","2075"
"Deaths Registered","2016Q3","85 years and over","Total deaths (A00-Y89)","Number","2294"
"Deaths Registered","2016Q3","All ages","Total deaths (A00-Y89)","Number","7129"
"Deaths Registered","2016Q4","Under 1 year","Total deaths (A00-Y89)","Number","48"
"Deaths Registered","2016Q4","1 - 4 years","Total deaths (A00-Y89)","Number","6"
"Deaths Registered","2016Q4","5 - 14 years","Total deaths (A00-Y89)","Number","9"
"Deaths Registered","2016Q4","15 - 24 years","Total deaths (A00-Y89)","Number","43"
"Deaths Registered","2016Q4","25 - 34 years","Total deaths (A00-Y89)","Number","104"
"Deaths Registered","2016Q4","35 - 44 years","Total deaths (A00-Y89)","Number","151"
"Deaths Registered","2016Q4","45 - 54 years","Total deaths (A00-Y89)","Number","350"
"Deaths Registered","2016Q4","55 - 64 years","Total deaths (A00-Y89)","Number","602"
"Deaths Registered","2016Q4","65 - 74 years","Total deaths (A00-Y89)","Number","1266"
"Deaths Registered","2016Q4","75 - 84 years","Total deaths (A00-Y89)","Number","1969"
"Deaths Registered","2016Q4","85 years and over","Total deaths (A00-Y89)","Number","2407"
"Deaths Registered","2016Q4","All ages","Total deaths (A00-Y89)","Number","6955"
"Deaths Registered","2017Q1","Under 1 year","Total deaths (A00-Y89)","Number","40"
"Deaths Registered","2017Q1","1 - 4 years","Total deaths (A00-Y89)","Number","5"
"Deaths Registered","2017Q1","5 - 14 years","Total deaths (A00-Y89)","Number","8"
"Deaths Registered","2017Q1","15 - 24 years","Total deaths (A00-Y89)","Number","46"
"Deaths Registered","2017Q1","25 - 34 years","Total deaths (A00-Y89)","Number","55"
"Deaths Registered","2017Q1","35 - 44 years","Total deaths (A00-Y89)","Number","162"
"Deaths Registered","2017Q1","45 - 54 years","Total deaths (A00-Y89)","Number","308"
"Deaths Registered","2017Q1","55 - 64 years","Total deaths (A00-Y89)","Number","727"
"Deaths Registered","2017Q1","65 - 74 years","Total deaths (A00-Y89)","Number","1502"
"Deaths Registered","2017Q1","75 - 84 years","Total deaths (A00-Y89)","Number","2781"
"Deaths Registered","2017Q1","85 years and over","Total deaths (A00-Y89)","Number","3433"
"Deaths Registered","2017Q1","All ages","Total deaths (A00-Y89)","Number","9067"
"Deaths Registered","2017Q2","Under 1 year","Total deaths (A00-Y89)","Number","46"
"Deaths Registered","2017Q2","1 - 4 years","Total deaths (A00-Y89)","Number","4"
"Deaths Registered","2017Q2","5 - 14 years","Total deaths (A00-Y89)","Number","14"
"Deaths Registered","2017Q2","15 - 24 years","Total deaths (A00-Y89)","Number","45"
"Deaths Registered","2017Q2","25 - 34 years","Total deaths (A00-Y89)","Number","89"
"Deaths Registered","2017Q2","35 - 44 years","Total deaths (A00-Y89)","Number","159"
"Deaths Registered","2017Q2","45 - 54 years","Total deaths (A00-Y89)","Number","355"
"Deaths Registered","2017Q2","55 - 64 years","Total deaths (A00-Y89)","Number","672"
"Deaths Registered","2017Q2","65 - 74 years","Total deaths (A00-Y89)","Number","1317"
"Deaths Registered","2017Q2","75 - 84 years","Total deaths (A00-Y89)","Number","2162"
"Deaths Registered","2017Q2","85 years and over","Total deaths (A00-Y89)","Number","2452"
"Deaths Registered","2017Q2","All ages","Total deaths (A00-Y89)","Number","7315"
"Deaths Registered","2017Q3","Under 1 year","Total deaths (A00-Y89)","Number","49"
"Deaths Registered","2017Q3","1 - 4 years","Total deaths (A00-Y89)","Number","12"
"Deaths Registered","2017Q3","5 - 14 years","Total deaths (A00-Y89)","Number","9"
"Deaths Registered","2017Q3","15 - 24 years","Total deaths (A00-Y89)","Number","35"
"Deaths Registered","2017Q3","25 - 34 years","Total deaths (A00-Y89)","Number","68"
"Deaths Registered","2017Q3","35 - 44 years","Total deaths (A00-Y89)","Number","166"
"Deaths Registered","2017Q3","45 - 54 years","Total deaths (A00-Y89)","Number","320"
"Deaths Registered","2017Q3","55 - 64 years","Total deaths (A00-Y89)","Number","688"
"Deaths Registered","2017Q3","65 - 74 years","Total deaths (A00-Y89)","Number","1335"
"Deaths Registered","2017Q3","75 - 84 years","Total deaths (A00-Y89)","Number","1998"
"Deaths Registered","2017Q3","85 years and over","Total deaths (A00-Y89)","Number","2307"
"Deaths Registered","2017Q3","All ages","Total deaths (A00-Y89)","Number","6987"
"Deaths Registered","2017Q4","Under 1 year","Total deaths (A00-Y89)","Number","39"
"Deaths Registered","2017Q4","1 - 4 years","Total deaths (A00-Y89)","Number","7"
"Deaths Registered","2017Q4","5 - 14 years","Total deaths (A00-Y89)","Number","14"
"Deaths Registered","2017Q4","15 - 24 years","Total deaths (A00-Y89)","Number","49"
"Deaths Registered","2017Q4","25 - 34 years","Total deaths (A00-Y89)","Number","94"
"Deaths Registered","2017Q4","35 - 44 years","Total deaths (A00-Y89)","Number","192"
"Deaths Registered","2017Q4","45 - 54 years","Total deaths (A00-Y89)","Number","329"
"Deaths Registered","2017Q4","55 - 64 years","Total deaths (A00-Y89)","Number","652"
"Deaths Registered","2017Q4","65 - 74 years","Total deaths (A00-Y89)","Number","1210"
"Deaths Registered","2017Q4","75 - 84 years","Total deaths (A00-Y89)","Number","2053"
"Deaths Registered","2017Q4","85 years and over","Total deaths (A00-Y89)","Number","2476"
"Deaths Registered","2017Q4","All ages","Total deaths (A00-Y89)","Number","7115"
"Deaths Registered","2018Q1","Under 1 year","Total deaths (A00-Y89)","Number","55"
"Deaths Registered","2018Q1","1 - 4 years","Total deaths (A00-Y89)","Number","5"
"Deaths Registered","2018Q1","5 - 14 years","Total deaths (A00-Y89)","Number","11"
"Deaths Registered","2018Q1","15 - 24 years","Total deaths (A00-Y89)","Number","36"
"Deaths Registered","2018Q1","25 - 34 years","Total deaths (A00-Y89)","Number","78"
"Deaths Registered","2018Q1","35 - 44 years","Total deaths (A00-Y89)","Number","159"
"Deaths Registered","2018Q1","45 - 54 years","Total deaths (A00-Y89)","Number","349"
"Deaths Registered","2018Q1","55 - 64 years","Total deaths (A00-Y89)","Number","716"
"Deaths Registered","2018Q1","65 - 74 years","Total deaths (A00-Y89)","Number","1527"
"Deaths Registered","2018Q1","75 - 84 years","Total deaths (A00-Y89)","Number","2762"
"Deaths Registered","2018Q1","85 years and over","Total deaths (A00-Y89)","Number","3580"
"Deaths Registered","2018Q1","All ages","Total deaths (A00-Y89)","Number","9278"
"Deaths Registered","2018Q2","Under 1 year","Total deaths (A00-Y89)","Number","47"
"Deaths Registered","2018Q2","1 - 4 years","Total deaths (A00-Y89)","Number","5"
"Deaths Registered","2018Q2","5 - 14 years","Total deaths (A00-Y89)","Number","14"
"Deaths Registered","2018Q2","15 - 24 years","Total deaths (A00-Y89)","Number","37"
"Deaths Registered","2018Q2","25 - 34 years","Total deaths (A00-Y89)","Number","72"
"Deaths Registered","2018Q2","35 - 44 years","Total deaths (A00-Y89)","Number","110"
"Deaths Registered","2018Q2","45 - 54 years","Total deaths (A00-Y89)","Number","329"
"Deaths Registered","2018Q2","55 - 64 years","Total deaths (A00-Y89)","Number","682"
"Deaths Registered","2018Q2","65 - 74 years","Total deaths (A00-Y89)","Number","1391"
"Deaths Registered","2018Q2","75 - 84 years","Total deaths (A00-Y89)","Number","2266"
"Deaths Registered","2018Q2","85 years and over","Total deaths (A00-Y89)","Number","2639"
"Deaths Registered","2018Q2","All ages","Total deaths (A00-Y89)","Number","7592"
"Deaths Registered","2018Q3","Under 1 year","Total deaths (A00-Y89)","Number","45"
"Deaths Registered","2018Q3","1 - 4 years","Total deaths (A00-Y89)","Number","8"
"Deaths Registered","2018Q3","5 - 14 years","Total deaths (A00-Y89)","Number","11"
"Deaths Registered","2018Q3","15 - 24 years","Total deaths (A00-Y89)","Number","30"
"Deaths Registered","2018Q3","25 - 34 years","Total deaths (A00-Y89)","Number","92"
"Deaths Registered","2018Q3","35 - 44 years","Total deaths (A00-Y89)","Number","165"
"Deaths Registered","2018Q3","45 - 54 years","Total deaths (A00-Y89)","Number","344"
"Deaths Registered","2018Q3","55 - 64 years","Total deaths (A00-Y89)","Number","677"
"Deaths Registered","2018Q3","65 - 74 years","Total deaths (A00-Y89)","Number","1349"
"Deaths Registered","2018Q3","75 - 84 years","Total deaths (A00-Y89)","Number","2079"
"Deaths Registered","2018Q3","85 years and over","Total deaths (A00-Y89)","Number","2343"
"Deaths Registered","2018Q3","All ages","Total deaths (A00-Y89)","Number","7143"
"Deaths Registered","2018Q4","Under 1 year","Total deaths (A00-Y89)","Number","40"
"Deaths Registered","2018Q4","1 - 4 years","Total deaths (A00-Y89)","Number","9"
"Deaths Registered","2018Q4","5 - 14 years","Total deaths (A00-Y89)","Number","18"
"Deaths Registered","2018Q4","15 - 24 years","Total deaths (A00-Y89)","Number","54"
"Deaths Registered","2018Q4","25 - 34 years","Total deaths (A00-Y89)","Number","89"
"Deaths Registered","2018Q4","35 - 44 years","Total deaths (A00-Y89)","Number","185"
"Deaths Registered","2018Q4","45 - 54 years","Total deaths (A00-Y89)","Number","324"
"Deaths Registered","2018Q4","55 - 64 years","Total deaths (A00-Y89)","Number","687"
"Deaths Registered","2018Q4","65 - 74 years","Total deaths (A00-Y89)","Number","1322"
"Deaths Registered","2018Q4","75 - 84 years","Total deaths (A00-Y89)","Number","2000"
"Deaths Registered","2018Q4","85 years and over","Total deaths (A00-Y89)","Number","2375"
"Deaths Registered","2018Q4","All ages","Total deaths (A00-Y89)","Number","7103"
"Deaths Registered","2019Q1","Under 1 year","Total deaths (A00-Y89)","Number","52"
"Deaths Registered","2019Q1","1 - 4 years","Total deaths (A00-Y89)","Number","7"
"Deaths Registered","2019Q1","5 - 14 years","Total deaths (A00-Y89)","Number","17"
"Deaths Registered","2019Q1","15 - 24 years","Total deaths (A00-Y89)","Number","33"
"Deaths Registered","2019Q1","25 - 34 years","Total deaths (A00-Y89)","Number","55"
"Deaths Registered","2019Q1","35 - 44 years","Total deaths (A00-Y89)","Number","135"
"Deaths Registered","2019Q1","45 - 54 years","Total deaths (A00-Y89)","Number","367"
"Deaths Registered","2019Q1","55 - 64 years","Total deaths (A00-Y89)","Number","755"
"Deaths Registered","2019Q1","65 - 74 years","Total deaths (A00-Y89)","Number","1525"
"Deaths Registered","2019Q1","75 - 84 years","Total deaths (A00-Y89)","Number","2574"
"Deaths Registered","2019Q1","85 years and over","Total deaths (A00-Y89)","Number","3098"
"Deaths Registered","2019Q1","All ages","Total deaths (A00-Y89)","Number","8618"
"Deaths Registered","2019Q2","Under 1 year","Total deaths (A00-Y89)","Number","48"
"Deaths Registered","2019Q2","1 - 4 years","Total deaths (A00-Y89)","Number","8"
"Deaths Registered","2019Q2","5 - 14 years","Total deaths (A00-Y89)","Number","5"
"Deaths Registered","2019Q2","15 - 24 years","Total deaths (A00-Y89)","Number","38"
"Deaths Registered","2019Q2","25 - 34 years","Total deaths (A00-Y89)","Number","62"
"Deaths Registered","2019Q2","35 - 44 years","Total deaths (A00-Y89)","Number","171"
"Deaths Registered","2019Q2","45 - 54 years","Total deaths (A00-Y89)","Number","321"
"Deaths Registered","2019Q2","55 - 64 years","Total deaths (A00-Y89)","Number","731"
"Deaths Registered","2019Q2","65 - 74 years","Total deaths (A00-Y89)","Number","1334"
"Deaths Registered","2019Q2","75 - 84 years","Total deaths (A00-Y89)","Number","2090"
"Deaths Registered","2019Q2","85 years and over","Total deaths (A00-Y89)","Number","2711"
"Deaths Registered","2019Q2","All ages","Total deaths (A00-Y89)","Number","7519"
"Deaths Registered","2019Q3","Under 1 year","Total deaths (A00-Y89)","Number","46"
"Deaths Registered","2019Q3","1 - 4 years","Total deaths (A00-Y89)","Number","4"
"Deaths Registered","2019Q3","5 - 14 years","Total deaths (A00-Y89)","Number","10"
"Deaths Registered","2019Q3","15 - 24 years","Total deaths (A00-Y89)","Number","31"
"Deaths Registered","2019Q3","25 - 34 years","Total deaths (A00-Y89)","Number","73"
"Deaths Registered","2019Q3","35 - 44 years","Total deaths (A00-Y89)","Number","162"
"Deaths Registered","2019Q3","45 - 54 years","Total deaths (A00-Y89)","Number","331"
"Deaths Registered","2019Q3","55 - 64 years","Total deaths (A00-Y89)","Number","739"
"Deaths Registered","2019Q3","65 - 74 years","Total deaths (A00-Y89)","Number","1390"
"Deaths Registered","2019Q3","75 - 84 years","Total deaths (A00-Y89)","Number","2070"
"Deaths Registered","2019Q3","85 years and over","Total deaths (A00-Y89)","Number","2502"
"Deaths Registered","2019Q3","All ages","Total deaths (A00-Y89)","Number","7358"
"Deaths Registered","2019Q4","Under 1 year","Total deaths (A00-Y89)","Number","44"
"Deaths Registered","2019Q4","1 - 4 years","Total deaths (A00-Y89)","Number","10"
"Deaths Registered","2019Q4","5 - 14 years","Total deaths (A00-Y89)","Number","13"
"Deaths Registered","2019Q4","15 - 24 years","Total deaths (A00-Y89)","Number","51"
"Deaths Registered","2019Q4","25 - 34 years","Total deaths (A00-Y89)","Number","115"
"Deaths Registered","2019Q4","35 - 44 years","Total deaths (A00-Y89)","Number","205"
"Deaths Registered","2019Q4","45 - 54 years","Total deaths (A00-Y89)","Number","355"
"Deaths Registered","2019Q4","55 - 64 years","Total deaths (A00-Y89)","Number","702"
"Deaths Registered","2019Q4","65 - 74 years","Total deaths (A00-Y89)","Number","1366"
"Deaths Registered","2019Q4","75 - 84 years","Total deaths (A00-Y89)","Number","2143"
"Deaths Registered","2019Q4","85 years and over","Total deaths (A00-Y89)","Number","2635"
"Deaths Registered","2019Q4","All ages","Total deaths (A00-Y89)","Number","7639"
"Deaths Registered","2020Q1","Under 1 year","Total deaths (A00-Y89)","Number","42"
"Deaths Registered","2020Q1","1 - 4 years","Total deaths (A00-Y89)","Number","8"
"Deaths Registered","2020Q1","5 - 14 years","Total deaths (A00-Y89)","Number","12"
"Deaths Registered","2020Q1","15 - 24 years","Total deaths (A00-Y89)","Number","35"
"Deaths Registered","2020Q1","25 - 34 years","Total deaths (A00-Y89)","Number","58"
"Deaths Registered","2020Q1","35 - 44 years","Total deaths (A00-Y89)","Number","148"
"Deaths Registered","2020Q1","45 - 54 years","Total deaths (A00-Y89)","Number","327"
"Deaths Registered","2020Q1","55 - 64 years","Total deaths (A00-Y89)","Number","698"
"Deaths Registered","2020Q1","65 - 74 years","Total deaths (A00-Y89)","Number","1579"
"Deaths Registered","2020Q1","75 - 84 years","Total deaths (A00-Y89)","Number","2563"
"Deaths Registered","2020Q1","85 years and over","Total deaths (A00-Y89)","Number","3204"
"Deaths Registered","2020Q1","All ages","Total deaths (A00-Y89)","Number","8674"
"Deaths Registered","2020Q2","Under 1 year","Total deaths (A00-Y89)","Number","36"
"Deaths Registered","2020Q2","1 - 4 years","Total deaths (A00-Y89)","Number","4"
"Deaths Registered","2020Q2","5 - 14 years","Total deaths (A00-Y89)","Number","5"
"Deaths Registered","2020Q2","15 - 24 years","Total deaths (A00-Y89)","Number","19"
"Deaths Registered","2020Q2","25 - 34 years","Total deaths (A00-Y89)","Number","51"
"Deaths Registered","2020Q2","35 - 44 years","Total deaths (A00-Y89)","Number","150"
"Deaths Registered","2020Q2","45 - 54 years","Total deaths (A00-Y89)","Number","308"
"Deaths Registered","2020Q2","55 - 64 years","Total deaths (A00-Y89)","Number","714"
"Deaths Registered","2020Q2","65 - 74 years","Total deaths (A00-Y89)","Number","1590"
"Deaths Registered","2020Q2","75 - 84 years","Total deaths (A00-Y89)","Number","2561"
"Deaths Registered","2020Q2","85 years and over","Total deaths (A00-Y89)","Number","3144"
"Deaths Registered","2020Q2","All ages","Total deaths (A00-Y89)","Number","8582"
"Deaths Registered","2020Q3","Under 1 year","Total deaths (A00-Y89)","Number","36"
"Deaths Registered","2020Q3","1 - 4 years","Total deaths (A00-Y89)","Number","8"
"Deaths Registered","2020Q3","5 - 14 years","Total deaths (A00-Y89)","Number","12"
"Deaths Registered","2020Q3","15 - 24 years","Total deaths (A00-Y89)","Number","22"
"Deaths Registered","2020Q3","25 - 34 years","Total deaths (A00-Y89)","Number","65"
"Deaths Registered","2020Q3","35 - 44 years","Total deaths (A00-Y89)","Number","147"
"Deaths Registered","2020Q3","45 - 54 years","Total deaths (A00-Y89)","Number","319"
"Deaths Registered","2020Q3","55 - 64 years","Total deaths (A00-Y89)","Number","680"
"Deaths Registered","2020Q3","65 - 74 years","Total deaths (A00-Y89)","Number","1318"
"Deaths Registered","2020Q3","75 - 84 years","Total deaths (A00-Y89)","Number","2086"
"Deaths Registered","2020Q3","85 years and over","Total deaths (A00-Y89)","Number","2418"
"Deaths Registered","2020Q3","All ages","Total deaths (A00-Y89)","Number","7111"
"Deaths Registered","2020Q4","Under 1 year","Total deaths (A00-Y89)","Number","39"
"Deaths Registered","2020Q4","1 - 4 years","Total deaths (A00-Y89)","Number","7"
"Deaths Registered","2020Q4","5 - 14 years","Total deaths (A00-Y89)","Number","18"
"Deaths Registered","2020Q4","15 - 24 years","Total deaths (A00-Y89)","Number","60"
"Deaths Registered","2020Q4","25 - 34 years","Total deaths (A00-Y89)","Number","82"
"Deaths Registered","2020Q4","35 - 44 years","Total deaths (A00-Y89)","Number","197"
"Deaths Registered","2020Q4","45 - 54 years","Total deaths (A00-Y89)","Number","345"
"Deaths Registered","2020Q4","55 - 64 years","Total deaths (A00-Y89)","Number","673"
"Deaths Registered","2020Q4","65 - 74 years","Total deaths (A00-Y89)","Number","1335"
"Deaths Registered","2020Q4","75 - 84 years","Total deaths (A00-Y89)","Number","2136"
"Deaths Registered","2020Q4","85 years and over","Total deaths (A00-Y89)","Number","2506"
"Deaths Registered","2020Q4","All ages","Total deaths (A00-Y89)","Number","7398"
"Deaths Registered","2021Q1","Under 1 year","Total deaths (A00-Y89)","Number","37"
"Deaths Registered","2021Q1","1 - 4 years","Total deaths (A00-Y89)","Number","3"
"Deaths Registered","2021Q1","5 - 14 years","Total deaths (A00-Y89)","Number","9"
"Deaths Registered","2021Q1","15 - 24 years","Total deaths (A00-Y89)","Number","20"
"Deaths Registered","2021Q1","25 - 34 years","Total deaths (A00-Y89)","Number","52"
"Deaths Registered","2021Q1","35 - 44 years","Total deaths (A00-Y89)","Number","151"
"Deaths Registered","2021Q1","45 - 54 years","Total deaths (A00-Y89)","Number","345"
"Deaths Registered","2021Q1","55 - 64 years","Total deaths (A00-Y89)","Number","762"
"Deaths Registered","2021Q1","65 - 74 years","Total deaths (A00-Y89)","Number","1635"
"Deaths Registered","2021Q1","75 - 84 years","Total deaths (A00-Y89)","Number","2931"
"Deaths Registered","2021Q1","85 years and over","Total deaths (A00-Y89)","Number","3619"
"Deaths Registered","2021Q1","All ages","Total deaths (A00-Y89)","Number","9564"
"Deaths Registered","2021Q2","Under 1 year","Total deaths (A00-Y89)","Number","29"
"Deaths Registered","2021Q2","1 - 4 years","Total deaths (A00-Y89)","Number","5"
"Deaths Registered","2021Q2","5 - 14 years","Total deaths (A00-Y89)","Number","7"
"Deaths Registered","2021Q2","15 - 24 years","Total deaths (A00-Y89)","Number","33"
"Deaths Registered","2021Q2","25 - 34 years","Total deaths (A00-Y89)","Number","39"
"Deaths Registered","2021Q2","35 - 44 years","Total deaths (A00-Y89)","Number","126"
"Deaths Registered","2021Q2","45 - 54 years","Total deaths (A00-Y89)","Number","284"
"Deaths Registered","2021Q2","55 - 64 years","Total deaths (A00-Y89)","Number","619"
"Deaths Registered","2021Q2","65 - 74 years","Total deaths (A00-Y89)","Number","1219"
"Deaths Registered","2021Q2","75 - 84 years","Total deaths (A00-Y89)","Number","1980"
"Deaths Registered","2021Q2","85 years and over","Total deaths (A00-Y89)","Number","2359"
"Deaths Registered","2021Q2","All ages","Total deaths (A00-Y89)","Number","6700"
"Deaths Registered","2021Q3","Under 1 year","Total deaths (A00-Y89)","Number","52"
"Deaths Registered","2021Q3","1 - 4 years","Total deaths (A00-Y89)","Number","5"
"Deaths Registered","2021Q3","5 - 14 years","Total deaths (A00-Y89)","Number","9"
"Deaths Registered","2021Q3","15 - 24 years","Total deaths (A00-Y89)","Number","41"
"Deaths Registered","2021Q3","25 - 34 years","Total deaths (A00-Y89)","Number","93"
"Deaths Registered","2021Q3","35 - 44 years","Total deaths (A00-Y89)","Number","205"
"Deaths Registered","2021Q3","45 - 54 years","Total deaths (A00-Y89)","Number","390"
"Deaths Registered","2021Q3","55 - 64 years","Total deaths (A00-Y89)","Number","783"
"Deaths Registered","2021Q3","65 - 74 years","Total deaths (A00-Y89)","Number","1475"
"Deaths Registered","2021Q3","75 - 84 years","Total deaths (A00-Y89)","Number","2426"
"Deaths Registered","2021Q3","85 years and over","Total deaths (A00-Y89)","Number","2686"
"Deaths Registered","2021Q3","All ages","Total deaths (A00-Y89)","Number","8165"
"Deaths Registered","2021Q4","Under 1 year","Total deaths (A00-Y89)","Number","62"
"Deaths Registered","2021Q4","1 - 4 years","Total deaths (A00-Y89)","Number","1"
"Deaths Registered","2021Q4","5 - 14 years","Total deaths (A00-Y89)","Number","10"
"Deaths Registered","2021Q4","15 - 24 years","Total deaths (A00-Y89)","Number","52"
"Deaths Registered","2021Q4","25 - 34 years","Total deaths (A00-Y89)","Number","78"
"Deaths Registered","2021Q4","35 - 44 years","Total deaths (A00-Y89)","Number","192"
"Deaths Registered","2021Q4","45 - 54 years","Total deaths (A00-Y89)","Number","428"
"Deaths Registered","2021Q4","55 - 64 years","Total deaths (A00-Y89)","Number","811"
"Deaths Registered","2021Q4","65 - 74 years","Total deaths (A00-Y89)","Number","1518"
"Deaths Registered","2021Q4","75 - 84 years","Total deaths (A00-Y89)","Number","2498"
"Deaths Registered","2021Q4","85 years and over","Total deaths (A00-Y89)","Number","2976"
"Deaths Registered","2021Q4","All ages","Total deaths (A00-Y89)","Number","8626"
"Deaths Registered","2022Q1","Under 1 year","Total deaths (A00-Y89)","Number","43"
"Deaths Registered","2022Q1","1 - 4 years","Total deaths (A00-Y89)","Number","5"
"Deaths Registered","2022Q1","5 - 14 years","Total deaths (A00-Y89)","Number","10"
"Deaths Registered","2022Q1","15 - 24 years","Total deaths (A00-Y89)","Number","33"
"Deaths Registered","2022Q1","25 - 34 years","Total deaths (A00-Y89)","Number","66"
"Deaths Registered","2022Q1","35 - 44 years","Total deaths (A00-Y89)","Number","146"
"Deaths Registered","2022Q1","45 - 54 years","Total deaths (A00-Y89)","Number","382"
"Deaths Registered","2022Q1","55 - 64 years","Total deaths (A00-Y89)","Number","837"
"Deaths Registered","2022Q1","65 - 74 years","Total deaths (A00-Y89)","Number","1585"
"Deaths Registered","2022Q1","75 - 84 years","Total deaths (A00-Y89)","Number","2897"
"Deaths Registered","2022Q1","85 years and over","Total deaths (A00-Y89)","Number","3531"
"Deaths Registered","2022Q1","All ages","Total deaths (A00-Y89)","Number","9535"
"Deaths Registered","2022Q2","Under 1 year","Total deaths (A00-Y89)","Number","51"
"Deaths Registered","2022Q2","1 - 4 years","Total deaths (A00-Y89)","Number","6"
"Deaths Registered","2022Q2","5 - 14 years","Total deaths (A00-Y89)","Number","11"
"Deaths Registered","2022Q2","15 - 24 years","Total deaths (A00-Y89)","Number","41"
"Deaths Registered","2022Q2","25 - 34 years","Total deaths (A00-Y89)","Number","97"
"Deaths Registered","2022Q2","35 - 44 years","Total deaths (A00-Y89)","Number","179"
"Deaths Registered","2022Q2","45 - 54 years","Total deaths (A00-Y89)","Number","377"
"Deaths Registered","2022Q2","55 - 64 years","Total deaths (A00-Y89)","Number","792"
"Deaths Registered","2022Q2","65 - 74 years","Total deaths (A00-Y89)","Number","1617"
"Deaths Registered","2022Q2","75 - 84 years","Total deaths (A00-Y89)","Number","2844"
"Deaths Registered","2022Q2","85 years and over","Total deaths (A00-Y89)","Number","3311"
"Deaths Registered","2022Q2","All ages","Total deaths (A00-Y89)","Number","9326"
"Deaths Registered","2022Q3","Under 1 year","Total deaths (A00-Y89)","Number","56"
"Deaths Registered","2022Q3","1 - 4 years","Total deaths (A00-Y89)","Number","5"
"Deaths Registered","2022Q3","5 - 14 years","Total deaths (A00-Y89)","Number","12"
"Deaths Registered","2022Q3","15 - 24 years","Total deaths (A00-Y89)","Number","48"
"Deaths Registered","2022Q3","25 - 34 years","Total deaths (A00-Y89)","Number","83"
"Deaths Registered","2022Q3","35 - 44 years","Total deaths (A00-Y89)","Number","167"
"Deaths Registered","2022Q3","45 - 54 years","Total deaths (A00-Y89)","Number","370"
"Deaths Registered","2022Q3","55 - 64 years","Total deaths (A00-Y89)","Number","777"
"Deaths Registered","2022Q3","65 - 74 years","Total deaths (A00-Y89)","Number","1531"
"Deaths Registered","2022Q3","75 - 84 years","Total deaths (A00-Y89)","Number","2546"
"Deaths Registered","2022Q3","85 years and over","Total deaths (A00-Y89)","Number","2872"
"Deaths Registered","2022Q3","All ages","Total deaths (A00-Y89)","Number","8467"
"Deaths Registered","2022Q4","Under 1 year","Total deaths (A00-Y89)","Number","41"
"Deaths Registered","2022Q4","1 - 4 years","Total deaths (A00-Y89)","Number","3"
"Deaths Registered","2022Q4","5 - 14 years","Total deaths (A00-Y89)","Number","9"
"Deaths Registered","2022Q4","15 - 24 years","Total deaths (A00-Y89)","Number","53"
"Deaths Registered","2022Q4","25 - 34 years","Total deaths (A00-Y89)","Number","94"
"Deaths Registered","2022Q4","35 - 44 years","Total deaths (A00-Y89)","Number","167"
"Deaths Registered","2022Q4","45 - 54 years","Total deaths (A00-Y89)","Number","361"
"Deaths Registered","2022Q4","55 - 64 years","Total deaths (A00-Y89)","Number","716"
"Deaths Registered","2022Q4","65 - 74 years","Total deaths (A00-Y89)","Number","1384"
"Deaths Registered","2022Q4","75 - 84 years","Total deaths (A00-Y89)","Number","2399"
"Deaths Registered","2022Q4","85 years and over","Total deaths (A00-Y89)","Number","2922"
"Deaths Registered","2022Q4","All ages","Total deaths (A00-Y89)","Number","8149"
"Deaths Registered","2023Q1","Under 1 year","Total deaths (A00-Y89)","Number","43"
"Deaths Registered","2023Q1","1 - 4 years","Total deaths (A00-Y89)","Number","5"
"Deaths Registered","2023Q1","5 - 14 years","Total deaths (A00-Y89)","Number","18"
"Deaths Registered","2023Q1","15 - 24 years","Total deaths (A00-Y89)","Number","42"
"Deaths Registered","2023Q1","25 - 34 years","Total deaths (A00-Y89)","Number","45"
"Deaths Registered","2023Q1","35 - 44 years","Total deaths (A00-Y89)","Number","137"
"Deaths Registered","2023Q1","45 - 54 years","Total deaths (A00-Y89)","Number","360"
"Deaths Registered","2023Q1","55 - 64 years","Total deaths (A00-Y89)","Number","771"
"Deaths Registered","2023Q1","65 - 74 years","Total deaths (A00-Y89)","Number","1657"
"Deaths Registered","2023Q1","75 - 84 years","Total deaths (A00-Y89)","Number","3199"
"Deaths Registered","2023Q1","85 years and over","Total deaths (A00-Y89)","Number","3928"
"Deaths Registered","2023Q1","All ages","Total deaths (A00-Y89)","Number","10205"
