"STATISTIC Label","Quarter","Age Group","ICD 10 Diagnostic Group","UNIT","VALUE"
"Deaths Registered","2011Q2","25 - 34 years","Total deaths (A00-Y89)","Number","114"
"Deaths Registered","2011Q2","35 - 44 years","Total deaths (A00-Y89)","Number","218"
"Deaths Registered","2011Q2","45 - 54 years","Total deaths (A00-Y89)","Number","377"
"Deaths Registered","2011Q2","55 - 64 years","Total deaths (A00-Y89)","Number","796"
"Deaths Registered","2011Q2","65 - 74 years","Total deaths (A00-Y89)","Number","1308"
"Deaths Registered","2011Q2","75 - 84 years","Total deaths (A00-Y89)","Number","2073"
"Deaths Registered","2011Q2","85 years and over","Total deaths (A00-Y89)","Number","2237"
"Deaths Registered","2011Q2","All ages","Total deaths (A00-Y89)","Number","7277"
"Deaths Registered","2011Q3","Under 1 year","Total deaths (A00-Y89)","Number","65"
"Deaths Registered","2011Q3","1 - 4 years","Total deaths (A00-Y89)","Number","8"
"Deaths Registered","2011Q3","5 - 14 years","Total deaths (A00-Y89)","Number","12"
"Deaths Registered","2011Q3","15 - 24 years","Total deaths (A00-Y89)","Number","87"
"Deaths Registered","2011Q3","25 - 34 years","Total deaths (A00-Y89)","Number","110"
"Deaths Registered","2011Q3","35 - 44 years","Total deaths (A00-Y89)","Number","171"
"Deaths Registered","2011Q3","45 - 54 years","Total deaths (A00-Y89)","Number","399"
"Deaths Registered","2011Q3","55 - 64 years","Total deaths (A00-Y89)","Number","756"
"Deaths Registered","2011Q3","65 - 74 years","Total deaths (A00-Y89)","Number","1228"
"Deaths Registered","2011Q3","75 - 84 years","Total deaths (A00-Y89)","Number","2036"
"Deaths Registered","2011Q3","85 years and over","Total deaths (A00-Y89)","Number","2039"
"Deaths Registered","2011Q3","All ages","Total deaths (A00-Y89)","Number","6911"
"Deaths Registered","2011Q4","Under 1 year","Total deaths (A00-Y89)","Number","60"
"Deaths Registered","2011Q4","1 - 4 years","Total deaths (A00-Y89)","Number","9"
"Deaths Registered","2011Q4","5 - 14 years","Total deaths (A00-Y89)","Number","10"
"Deaths Registered","2011Q4","15 - 24 years","Total deaths (A00-Y89)","Number","68"
"Deaths Registered","2011Q4","25 - 34 years","Total deaths (A00-Y89)","Number","105"
"Deaths Registered","2011Q4","35 - 44 years","Total deaths (A00-Y89)","Number","221"
"Deaths Registered","2011Q4","45 - 54 years","Total deaths (A00-Y89)","Number","317"
"Deaths Registered","2011Q4","55 - 64 years","Total deaths (A00-Y89)","Number","669"
"Deaths Registered","2011Q4","65 - 74 years","Total deaths (A00-Y89)","Number","1139"
