"Notes"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2019"	"2019"	"Jan., 2019"	"2019/01"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2019"	"2019"	"Feb., 2019"	"2019/02"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2019"	"2019"	"Mar., 2019"	"2019/03"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2019"	"2019"	"Apr., 2019"	"2019/04"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2019"	"2019"	"May, 2019"	"2019/05"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2019"	"2019"	"Jun., 2019"	"2019/06"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2019"	"2019"	"Jul., 2019"	"2019/07"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2019"	"2019"	"Aug., 2019"	"2019/08"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2019"	"2019"	"Oct., 2019"	"2019/10"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2019"	"2019"	"Nov., 2019"	"2019/11"	22	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2019"	"2019"	"Dec., 2019"	"2019/12"	22	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2020 "	"2020"	"Jan., 2020 "	"2020/01"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2020 "	"2020"	"Feb., 2020 "	"2020/02"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2020 "	"2020"	"Mar., 2020 "	"2020/03"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2020 "	"2020"	"Apr., 2020 "	"2020/04"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2020 "	"2020"	"May, 2020 "	"2020/05"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2020 "	"2020"	"Jul., 2020 "	"2020/07"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2020 "	"2020"	"Aug., 2020 "	"2020/08"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2020 "	"2020"	"Sep., 2020 "	"2020/09"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2020 "	"2020"	"Oct., 2020 "	"2020/10"	13	Not Applicable	Not Applicable
