"Notes"	"Residence State"	"Residence State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2021"	"2021"	"May, 2021"	"2021/05"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2021"	"2021"	"Jun., 2021"	"2021/06"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2021"	"2021"	"Jul., 2021"	"2021/07"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2021"	"2021"	"Aug., 2021"	"2021/08"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2021"	"2021"	"Sep., 2021"	"2021/09"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2021"	"2021"	"Oct., 2021"	"2021/10"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2021"	"2021"	"Nov., 2021"	"2021/11"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2021"	"2021"	"Dec., 2021"	"2021/12"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2022 (provisional)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	22	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2022 (provisional)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2022 (provisional)"	"2022"	"Mar., 2022 (provisional)"	"2022/03"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2022 (provisional)"	"2022"	"Apr., 2022 (provisional)"	"2022/04"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2022 (provisional)"	"2022"	"May, 2022 (provisional)"	"2022/05"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2022 (provisional)"	"2022"	"Jun., 2022 (provisional)"	"2022/06"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2022 (provisional)"	"2022"	"Jul., 2022 (provisional)"	"2022/07"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2022 (provisional)"	"2022"	"Aug., 2022 (provisional)"	"2022/08"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2022 (provisional)"	"2022"	"Sep., 2022 (provisional)"	"2022/09"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2022 (provisional)"	"2022"	"Oct., 2022 (provisional)"	"2022/10"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2022 (provisional)"	"2022"	"Nov., 2022 (provisional)"	"2022/11"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2022 (provisional)"	"2022"	"Dec., 2022 (provisional)"	"2022/12"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2023 (provisional and partial)"	"2023"	"Jan., 2023 (provisional)"	"2023/01"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2023 (provisional and partial)"	"2023"	"Feb., 2023 (provisional)"	"2023/02"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2023 (provisional and partial)"	"2023"	"Mar., 2023 (provisional)"	"2023/03"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2023 (provisional and partial)"	"2023"	"Apr., 2023 (provisional)"	"2023/04"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2023 (provisional and partial)"	"2023"	"May, 2023 (provisional)"	"2023/05"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2023 (provisional and partial)"	"2023"	"Jun., 2023 (provisional)"	"2023/06"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2023 (provisional and partial)"	"2023"	"Jul., 2023 (provisional)"	"2023/07"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2023 (provisional and partial)"	"2023"	"Aug., 2023 (provisional)"	"2023/08"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2023 (provisional and partial)"	"2023"	"Sep., 2023 (provisional)"	"2023/09"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2023 (provisional and partial)"	"2023"	"Oct., 2023 (provisional)"	"2023/10"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"1-4 years"	"1-4"	"Male"	"M"	"2022 (provisional)"	"2022"	"Jul., 2022 (provisional)"	"2022/07"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"5-14 years"	"5-14"	"Male"	"M"	"2021"	"2021"	"May, 2021"	"2021/05"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"5-14 years"	"5-14"	"Male"	"M"	"2021"	"2021"	"Jun., 2021"	"2021/06"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"5-14 years"	"5-14"	"Male"	"M"	"2021"	"2021"	"Dec., 2021"	"2021/12"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"5-14 years"	"5-14"	"Male"	"M"	"2022 (provisional)"	"2022"	"Jul., 2022 (provisional)"	"2022/07"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"5-14 years"	"5-14"	"Male"	"M"	"2022 (provisional)"	"2022"	"Oct., 2022 (provisional)"	"2022/10"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"5-14 years"	"5-14"	"Male"	"M"	"2023 (provisional and partial)"	"2023"	"Apr., 2023 (provisional)"	"2023/04"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"5-14 years"	"5-14"	"Male"	"M"	"2023 (provisional and partial)"	"2023"	"May, 2023 (provisional)"	"2023/05"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2021"	"2021"	"Jan., 2021"	"2021/01"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2021"	"2021"	"Feb., 2021"	"2021/02"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2021"	"2021"	"Mar., 2021"	"2021/03"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2021"	"2021"	"Apr., 2021"	"2021/04"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2021"	"2021"	"May, 2021"	"2021/05"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2021"	"2021"	"Jun., 2021"	"2021/06"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2021"	"2021"	"Jul., 2021"	"2021/07"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2021"	"2021"	"Aug., 2021"	"2021/08"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2021"	"2021"	"Sep., 2021"	"2021/09"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2021"	"2021"	"Oct., 2021"	"2021/10"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2021"	"2021"	"Nov., 2021"	"2021/11"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2021"	"2021"	"Dec., 2021"	"2021/12"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2022 (provisional)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	22	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2022 (provisional)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2022 (provisional)"	"2022"	"Apr., 2022 (provisional)"	"2022/04"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2022 (provisional)"	"2022"	"May, 2022 (provisional)"	"2022/05"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2022 (provisional)"	"2022"	"Jun., 2022 (provisional)"	"2022/06"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2022 (provisional)"	"2022"	"Jul., 2022 (provisional)"	"2022/07"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2022 (provisional)"	"2022"	"Aug., 2022 (provisional)"	"2022/08"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2022 (provisional)"	"2022"	"Sep., 2022 (provisional)"	"2022/09"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2022 (provisional)"	"2022"	"Oct., 2022 (provisional)"	"2022/10"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2022 (provisional)"	"2022"	"Nov., 2022 (provisional)"	"2022/11"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2022 (provisional)"	"2022"	"Dec., 2022 (provisional)"	"2022/12"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2023 (provisional and partial)"	"2023"	"Jan., 2023 (provisional)"	"2023/01"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2023 (provisional and partial)"	"2023"	"Feb., 2023 (provisional)"	"2023/02"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2023 (provisional and partial)"	"2023"	"Mar., 2023 (provisional)"	"2023/03"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2023 (provisional and partial)"	"2023"	"Apr., 2023 (provisional)"	"2023/04"	19	Not Applicable	Not Applicable
